p10;p25;p50;p75;p90;p95;p99;mean
0.3002501589999999;0.971816781333912;2.737670604762731;6.640361909441551;15.91270614720949;28.853232797356505;98.23995178197315;7.81262466193624
0.4985072144143518;1.1681719681163194;2.9398078977662037;5.949520231388889;11.066678748067131;18.289144062298558;60.0187866773375;6.0045417672456445
0.8474321775208332;1.6730545370891203;3.381713297013889;6.1401406725289345;10.547308322284717;16.58562015481247;53.90887170939754;6.015452417341011
0.8327221624259259;1.5915137315972223;3.295901168148148;6.0371424404803244;10.257962453750002;16.92583115793749;62.85022582352361;6.2471138842300915
0.9746875272523147;1.9656795784722223;3.884948338506944;6.551969745520833;11.744732557969915;19.775387203692127;71.13087343083166;7.027457938578774
1.0107808251736112;2.076100252795139;4.183118278622684;7.587866817476852;14.055208087483805;22.859240422260385;84.78704963860432;7.979379568621874
1.1384791829907408;2.6446312749189813;4.996278579097223;8.53970582505787;16.96584921819213;28.825969019386562;127.62206102768896;10.00473034910836
1.1468934025439814;3.0768166330324074;5.706675595526621;9.501209109887153;15.251267824918983;19.958149851709468;40.59361120204655;7.7124953436858945
0.9561566050925924;2.0263974125925923;4.061247491377315;7.116444513130787;11.401481584456018;18.733078453391204;75.0824596832255;7.4357952807444025
1.0315229622824074;2.3537622612152775;4.7834443389120365;7.1822550231134255;12.31153029876389;20.89222705173028;46.80632130183864;7.66451604269038
